,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
319,Erik Hurtado,us USA,FW,Columbus Crew,31-288,1990,11,3,344,3.8,3,0,3,0,0,2,0,0.78,0.00,0.78,0.78,0.78,1.8,1.8,0.4,2.3,0.48,0.11,0.59,0.48,0.59,Matches,b11e6f2b
320,Emerson Hyndman,us USA,MF,Atlanta Utd,26-143,1996,9,2,288,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.5,0.14,0.02,0.16,0.14,0.16,Matches,3be1a627
321,Franco Ibarra,ar ARG,MF,Atlanta Utd,21-124,2001,16,9,831,9.2,0,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,0.5,1.0,0.05,0.05,0.10,0.05,0.10,Matches,db6540c5
322,Sebastien Ibeagha,us USA,DF,Los Angeles FC,30-221,1992,14,11,1077,12.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.04,0.00,0.04,0.04,0.04,Matches,41ba8175
323,Sunusi Ibrahim,ng NGA,FWMF,CF Montréal,19-333,2002,5,3,219,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.07,0.05,0.12,0.07,0.12,Matches,796994e5
324,James Igbekeme,ng NGA,FWMF,Columbus Crew,27-057,1995,22,8,885,9.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.8,1.8,0.10,0.08,0.18,0.10,0.18,Matches,c9ce0fc8
325,Tega Ikoba,us USA,FW,Portland Timbers,19-016,2003,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.48,0.00,0.48,0.48,0.48,Matches,35d550f2
326,Arnór Ingvi Traustason,is ISL,FWMF,New England,29-122,1993,15,5,496,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.1,1.9,0.15,0.20,0.34,0.15,0.34,Matches,7d036b4a
327,Lorenzo Insigne,it ITA,FW,Toronto FC,31-087,1991,7,7,585,6.5,4,2,4,0,1,0,0,0.62,0.31,0.92,0.62,0.92,2.8,2.0,1.3,3.4,0.43,0.20,0.64,0.31,0.52,Matches,2f557579
328,Nicolas Isimat-Mirin,fr FRA,DF,Sporting KC,30-288,1991,23,21,1871,20.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.0,0.02,0.03,0.05,0.02,0.05,Matches,14e8e9d7
329,Aljaž Ivačič,si SVN,GK,Portland Timbers,28-244,1993,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4d6e50d8
330,Stanislav Ivanov,bg BUL,FWMF,Chicago Fire,23-136,1999,12,11,776,8.6,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,1.3,1.3,0.9,2.2,0.15,0.11,0.26,0.15,0.26,Matches,0cafba94
331,Robin Jansson,se SWE,DF,Orlando City,30-288,1991,22,22,1970,21.9,1,1,1,0,0,11,1,0.05,0.05,0.09,0.05,0.09,1.1,1.1,0.3,1.3,0.05,0.01,0.06,0.05,0.06,Matches,8ca5c176
332,Franco Jara,ar ARG,FW,FC Dallas,34-046,1988,26,6,803,8.9,3,1,2,1,1,2,0,0.34,0.11,0.45,0.22,0.34,5.0,4.3,0.8,5.0,0.57,0.08,0.65,0.48,0.57,Matches,413cce14
333,Andres Jasson,us USA,DFFW,NYCFC,20-225,2002,12,2,311,3.5,0,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,0.1,0.1,0.2,0.3,0.03,0.06,0.10,0.03,0.10,Matches,31d049b2
334,Corentin Jean,fr FRA,FW,Inter Miami,27-046,1995,2,0,41,0.5,0,1,0,0,0,0,0,0.00,2.20,2.20,0.00,2.20,0.1,0.1,0.1,0.2,0.28,0.15,0.43,0.28,0.43,Matches,7d9b37bf
335,Cal Jennings,us USA,FW,Los Angeles FC,25-105,1997,3,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,44f6672a
336,Hector Jiménez,us USA,DF,Austin,33-300,1988,12,7,533,5.9,0,2,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,0.1,0.1,1.7,1.8,0.02,0.28,0.30,0.02,0.30,Matches,2dc1e90e
337,Jesús Jiménez,es ESP,FW,Toronto FC,28-298,1993,27,25,2056,22.8,8,3,8,0,0,2,0,0.35,0.13,0.48,0.35,0.48,7.4,7.4,3.0,10.3,0.32,0.13,0.45,0.32,0.45,Matches,1e161d47
338,Sean Johnson,us USA,GK,NYCFC,33-091,1989,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c164335e
339,Alistair Johnston,ca CAN,DF,CF Montréal,23-326,1998,27,25,2190,24.3,2,4,2,0,0,5,0,0.08,0.16,0.25,0.08,0.25,0.9,0.9,2.1,3.1,0.04,0.09,0.13,0.04,0.13,Matches,4fb17e20
340,DeJuan Jones,us USA,DF,New England,25-067,1997,26,26,2301,25.6,1,4,1,0,0,4,0,0.04,0.16,0.20,0.04,0.20,1.1,1.1,3.6,4.7,0.04,0.14,0.18,0.04,0.18,Matches,10d1139c
341,Derrick Jones,us USA,MF,Charlotte,25-180,1997,10,5,490,5.4,1,0,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,1.1,1.1,0.0,1.1,0.20,0.00,0.20,0.20,0.20,Matches,93c92d6c
342,Joevin Jones,tt TRI,DFFW,Inter Miami,31-027,1991,6,0,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.38,0.38,0.00,0.38,Matches,fc23d956
343,Jony,ar ARG,FW,Real Salt Lake,28-178,1994,4,1,144,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.27,0.00,0.27,0.27,0.27,Matches,60665492
344,Juan José Sánchez,co COL,DF,Atlanta Utd,24-233,1998,10,9,822,9.1,3,0,3,0,0,2,0,0.33,0.00,0.33,0.33,0.33,1.0,1.0,0.2,1.2,0.11,0.02,0.13,0.11,0.13,Matches,1835f053
345,Dejan Joveljić,rs SRB,FWMF,LA Galaxy,23-023,1999,24,6,819,9.1,10,3,8,2,3,3,0,1.10,0.33,1.43,0.88,1.21,6.4,4.1,2.8,6.8,0.70,0.30,1.00,0.45,0.75,Matches,95a24690
346,Kamil Jóźwiak,pl POL,MFFW,Charlotte,24-130,1998,14,9,790,8.8,0,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,1.4,1.4,0.9,2.3,0.16,0.10,0.26,0.16,0.26,Matches,bd4e3824
347,Judson,br BRA,MF,San Jose,29-097,1993,12,5,481,5.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,e1535f82
348,Anderson Julio,ec ECU,FWMF,Real Salt Lake,26-091,1996,12,2,299,3.3,2,1,2,0,0,1,0,0.60,0.30,0.90,0.60,0.90,1.2,1.2,0.4,1.6,0.37,0.11,0.47,0.37,0.47,Matches,f907a6a8
349,Florian Jungwirth,de GER,DFMF,Vancouver,33-215,1989,13,10,858,9.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f179c207
350,Sam Junqua,us USA,DF,Houston Dynamo,25-294,1996,12,3,398,4.4,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.1,0.1,0.5,0.6,0.02,0.10,0.13,0.02,0.13,Matches,91981d97
351,Chris Kablan,ch SUI,DFMF,Real Salt Lake,27-273,1994,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,04159652
352,Kristijan Kahlina,hr CRO,GK,Charlotte,30-037,1992,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,53e360bb
353,Brent Kallman,us USA,DF,Minnesota Utd,31-330,1990,13,8,775,8.6,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.5,0.5,0.4,0.9,0.05,0.04,0.10,0.05,0.10,Matches,2b24702b
354,Kei Kamara,sl SLE,FW,CF Montréal,37-363,1984,25,10,1184,13.2,5,5,5,0,0,0,0,0.38,0.38,0.76,0.38,0.76,5.7,5.7,1.5,7.2,0.43,0.11,0.54,0.43,0.54,Matches,6e3f3809
355,Ola Kamara,no NOR,FWMF,D.C. United,32-319,1989,25,12,1230,13.7,8,1,7,1,1,2,1,0.59,0.07,0.66,0.51,0.59,6.4,5.6,1.3,6.9,0.47,0.09,0.56,0.41,0.50,Matches,e134351a
356,Alec Kann,us USA,GK,FC Cincinnati,32-022,1990,7,7,630,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4a8af93c
357,Johan Kappelhof,nl NED,DF,Real Salt Lake,32-025,1990,4,4,360,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.7,0.7,0.1,0.8,0.18,0.02,0.19,0.18,0.19,Matches,465015a5
358,Wilfrid Kaptoum,cm CMR,MF,New England,26-054,1996,16,13,895,9.9,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.5,0.5,0.0,0.6,0.05,0.00,0.06,0.05,0.06,Matches,d717630e
359,Ercan Kara,at AUT,FW,Orlando City,26-239,1996,23,18,1439,16.0,8,2,8,0,0,2,0,0.50,0.13,0.63,0.50,0.63,7.2,7.2,1.4,8.7,0.45,0.09,0.54,0.45,0.54,Matches,540c9a17
360,Mark-Anthony Kaye,ca CAN,MF,Toronto FC,27-271,1994,3,3,242,2.7,0,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,Matches,36a38acd
361,Mark-Anthony Kaye,ca CAN,MF,Colorado Rapids,27-271,1994,17,15,1280,14.2,3,1,3,0,0,2,0,0.21,0.07,0.28,0.21,0.28,2.2,2.2,1.2,3.5,0.16,0.09,0.24,0.16,0.24,Matches,36a38acd
362,Kipp Keller,us USA,DF,Austin,22-047,2000,6,3,318,3.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,fe5fea9f
363,Jon Kempin,us USA,GK,D.C. United,29-144,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,063adc5e
364,Deandre Kerr,ca CAN,FWMF,Toronto FC,19-284,2002,23,10,1218,13.5,3,0,3,0,0,2,0,0.22,0.00,0.22,0.22,0.22,2.3,2.3,0.7,3.0,0.17,0.05,0.22,0.17,0.22,Matches,a3e85f7b
365,Henry Kessler,us USA,DF,New England,24-066,1998,15,14,1215,13.5,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.0,0.7,0.05,0.00,0.05,0.05,0.05,Matches,23c75879
366,Nabilai Kibunguchy,us USA,MF,Minnesota Utd,24-237,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.08,0.14,0.06,0.14,Matches,3b114bfc
367,Benjamin Kikanovic,us USA,FW,San Jose,22-236,2000,23,14,1161,12.9,5,3,5,0,0,3,0,0.39,0.23,0.62,0.39,0.62,3.6,3.6,1.3,4.9,0.28,0.10,0.38,0.28,0.38,Matches,fe11d61b
368,Patryk Klimala,pl POL,FW,NY Red Bulls,24-025,1998,26,19,1571,17.5,5,3,3,2,3,6,0,0.29,0.17,0.46,0.17,0.34,7.2,4.9,2.3,7.2,0.41,0.13,0.54,0.28,0.41,Matches,0bf3c11c
369,Sacha Kljestan,us USA,MF,LA Galaxy,36-355,1985,16,1,390,4.3,1,2,0,1,1,0,0,0.23,0.46,0.69,0.00,0.46,1.0,0.2,1.2,1.4,0.22,0.27,0.50,0.05,0.32,Matches,73682895
370,Brad Knighton,us USA,GK,New England,37-205,1985,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9903a3cb
371,Žan Kolmanič,si SVN,DF,Austin,22-180,2000,18,10,952,10.6,0,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.2,0.2,2.0,2.2,0.02,0.19,0.20,0.02,0.20,Matches,4501fd21
372,Ismaël Koné,ca CAN,MF,CF Montréal,20-085,2002,21,15,1281,14.2,2,2,2,0,0,7,1,0.14,0.14,0.28,0.14,0.28,1.0,1.0,1.8,2.8,0.07,0.13,0.20,0.07,0.20,Matches,e0220b70
373,Damir Kreilach,hr CRO,MFFW,Real Salt Lake,33-136,1989,5,3,300,3.3,1,0,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,1.5,1.5,0.1,1.6,0.46,0.02,0.48,0.46,0.48,Matches,068be155
374,Theodore Ku-Dipietro,us USA,MFFW,D.C. United,20-214,2002,8,1,169,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches,ef7c10e0
375,Yuya Kubo,jp JPN,MF,FC Cincinnati,28-249,1993,20,13,1096,12.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.6,2.2,0.05,0.14,0.18,0.05,0.18,Matches,cba16a46
376,Jojea Kwizera,cg CGO,DF,CF Montréal,23-241,1999,4,2,130,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.21,0.22,0.02,0.22,Matches,cc61360d
377,Lassi Lappalainen,fi FIN,DF,CF Montréal,24-006,1998,26,24,1820,20.2,2,5,2,0,0,1,0,0.10,0.25,0.35,0.10,0.35,2.0,2.0,3.0,5.1,0.10,0.15,0.25,0.10,0.25,Matches,bcb2282d
378,Jesús David Murillo Largacha,co COL,DF,Los Angeles FC,28-193,1994,23,23,1951,21.7,2,3,2,0,0,7,0,0.09,0.14,0.23,0.09,0.23,2.2,2.2,0.3,2.5,0.10,0.01,0.12,0.10,0.12,Matches,68d48a71
379,Richie Laryea,ca CAN,DF,Toronto FC,27-235,1995,5,5,419,4.7,0,3,0,0,0,2,0,0.00,0.64,0.64,0.00,0.64,0.0,0.0,1.3,1.3,0.00,0.27,0.27,0.00,0.27,Matches,276fdbe4
380,Ariel Lassiter,cr CRC,FWMF,Inter Miami,27-337,1994,23,14,1320,14.7,3,2,3,0,0,2,0,0.20,0.14,0.34,0.20,0.34,3.6,3.6,3.2,6.8,0.24,0.22,0.47,0.24,0.47,Matches,bd7b916c
381,Vuk Latinovich,us USA,DF,NYCFC,24-350,1997,2,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5c0e047a
382,Kemar Lawrence,jm JAM,DF,Minnesota Utd,29-347,1992,21,20,1795,19.9,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,0.5,0.5,0.9,1.4,0.02,0.04,0.07,0.02,0.07,Matches,80be3efe
383,Randall Leal,cr CRC,MFFW,Nashville,25-228,1997,23,21,1727,19.2,2,4,1,1,1,5,0,0.10,0.21,0.31,0.05,0.26,2.3,1.5,3.5,5.0,0.12,0.18,0.30,0.08,0.26,Matches,874a5031
384,Kelvin Leerdam,sr SUR,DFMF,LA Galaxy,32-067,1990,10,5,479,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.01,0.04,0.04,0.04,Matches,d8b47705
385,Brooks Lennon,us USA,DFFW,Atlanta Utd,24-342,1997,18,15,1427,15.9,2,4,2,0,0,1,0,0.13,0.25,0.38,0.13,0.38,1.6,1.6,5.7,7.3,0.10,0.36,0.46,0.10,0.46,Matches,ec80ba72
386,Jonathan Lewis,us USA,FWMF,Colorado Rapids,25-087,1997,26,21,1860,20.7,4,2,4,0,0,4,0,0.19,0.10,0.29,0.19,0.29,7.3,7.3,1.5,8.9,0.36,0.07,0.43,0.36,0.43,Matches,2501eb59
387,Danny Leyva,us USA,MF,Seattle,19-117,2003,12,6,546,6.1,0,1,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.2,0.2,0.5,0.7,0.03,0.08,0.11,0.03,0.11,Matches,ecc3a9c9
388,Azaad Liadi,us USA,MF,D.C. United,24-108,1998,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ba702426
389,Nick Lima,us USA,DF,Austin,27-286,1994,27,20,1833,20.4,0,4,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.6,0.6,1.9,2.5,0.03,0.09,0.12,0.03,0.12,Matches,959686eb
390,Jaylin Lindsey,us USA,DF,Charlotte,22-156,2000,25,18,1653,18.4,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.3,1.5,0.01,0.07,0.08,0.01,0.08,Matches,83cb6e59
391,Sebastian Lletget,us USA,FWMF,New England,29-361,1992,19,18,1447,16.1,2,4,2,0,0,1,0,0.12,0.25,0.37,0.12,0.37,2.6,2.6,1.4,4.1,0.16,0.09,0.25,0.16,0.25,Matches,73019c31
392,Sebastian Lletget,us USA,MF,FC Dallas,29-361,1992,5,4,365,4.1,0,2,0,0,0,1,0,0.00,0.49,0.49,0.00,0.49,0.3,0.3,0.2,0.5,0.07,0.05,0.13,0.07,0.13,Matches,73019c31
393,Robin Lod,fi FIN,FWMF,Minnesota Utd,29-135,1993,25,25,2163,24.0,6,2,6,0,0,7,0,0.25,0.08,0.33,0.25,0.33,6.6,6.6,2.0,8.6,0.27,0.08,0.36,0.27,0.36,Matches,33c69aa0
394,Nicolás Lodeiro,uy URU,MF,Seattle,33-162,1989,22,20,1776,19.7,5,6,1,4,4,5,0,0.25,0.30,0.56,0.05,0.35,4.9,1.9,5.4,7.3,0.25,0.27,0.52,0.10,0.37,Matches,fe81d0d1
395,Jasper Löffelsend,de GER,MF,Real Salt Lake,24-354,1997,24,15,1344,14.9,1,2,1,0,0,6,0,0.07,0.13,0.20,0.07,0.20,0.6,0.6,1.1,1.7,0.04,0.07,0.12,0.04,0.12,Matches,ce037639
396,Aaron Long,us USA,DF,NY Red Bulls,29-322,1992,25,24,2006,22.3,4,0,4,0,0,4,0,0.18,0.00,0.18,0.18,0.18,2.1,2.1,0.4,2.5,0.09,0.02,0.11,0.09,0.11,Matches,46b89640
397,Marcos López,pe PER,DF,San Jose,22-283,1999,17,16,1385,15.4,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.3,1.7,0.09,0.02,0.11,0.09,0.11,Matches,9b3ab988
398,Marvin Loría,cr CRC,FWMF,Portland Timbers,25-128,1997,23,7,718,8.0,2,1,2,0,1,0,0,0.25,0.13,0.38,0.25,0.38,2.0,1.2,0.5,1.8,0.26,0.07,0.32,0.15,0.22,Matches,71380d87
399,Daniel Lovitz,us USA,DF,Nashville,31-003,1991,25,23,2078,23.1,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,0.7,0.7,2.2,3.0,0.03,0.10,0.13,0.03,0.13,Matches,db97d838
400,Damion Lowe,jm JAM,DF,Inter Miami,29-117,1993,23,23,1994,22.2,1,1,1,0,0,8,1,0.05,0.05,0.09,0.05,0.09,1.4,1.4,0.3,1.8,0.06,0.02,0.08,0.06,0.08,Matches,b6e2e54c
401,Everton Luiz,br BRA,MF,Real Salt Lake,34-098,1988,12,4,435,4.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches,3799e138
402,Diego Luna,us USA,MF,Real Salt Lake,18-357,2003,8,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.09,0.10,0.01,0.10,Matches,e67f8af0
403,Adam Lundqvist,se SWE,DF,Houston Dynamo,28-163,1994,25,24,2041,22.7,0,5,0,0,0,5,1,0.00,0.22,0.22,0.00,0.22,0.2,0.2,1.8,2.1,0.01,0.08,0.09,0.01,0.09,Matches,91769a24
404,Luquinhas,br BRA,MFFW,NY Red Bulls,25-336,1996,24,15,1497,16.6,5,3,5,0,0,1,0,0.30,0.18,0.48,0.30,0.48,2.2,2.2,2.4,4.5,0.13,0.14,0.27,0.13,0.27,Matches,85937928
405,Jack Lynn,us USA,FWMF,Orlando City,22-230,2000,3,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c81d718e
406,Larrys Mabiala,cd COD,DF,Portland Timbers,34-326,1987,18,15,1300,14.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,5bdec47f
407,Aimé Mabika,zm ZAM,DF,Inter Miami,24-014,1998,10,8,594,6.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,3a37d349
408,Maciel,br BRA,MF,New England,22-224,2000,12,3,423,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a39d51e0
409,Zac MacMath,us USA,GK,Real Salt Lake,31-023,1991,27,27,2430,27.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches,06caac45
410,Lukas MacNaughton,us USA,DF,Toronto FC,27-175,1995,21,16,1499,16.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.02,0.02,0.02,Matches,b6111d16
411,Talles Magno,br BRA,FWMF,NYCFC,20-065,2002,27,26,2124,23.6,6,6,5,1,1,2,0,0.25,0.25,0.51,0.21,0.47,7.3,6.5,4.4,10.9,0.31,0.19,0.50,0.28,0.46,Matches,64c98878
412,Jack Maher,us USA,DF,Nashville,22-306,1999,22,17,1616,18.0,2,0,2,0,0,2,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches,0c6f2fa6
413,Christian Makoun,ve VEN,DF,Charlotte,22-178,2000,13,8,856,9.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,7efffe65
414,Christian Makoun,ve VEN,MFDF,New England,22-178,2000,4,2,212,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches,7efffe65
415,Adilson Malanda,fr FRA,DF,Charlotte,20-305,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.08,0.00,0.08,0.08,0.08,Matches,9d83969b
416,Machop Malual,ss SSD,DFFW,Atlanta Utd,23-289,1998,5,0,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.00,0.18,0.18,0.18,Matches,1701b012
417,J.T. Marcinkowski,us USA,GK,San Jose,25-113,1997,26,26,2295,25.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,977791f4
418,Paul Marie,fr FRA,DF,San Jose,27-159,1995,25,22,1895,21.1,1,1,1,0,0,5,0,0.05,0.05,0.09,0.05,0.09,1.2,1.2,1.5,2.7,0.06,0.07,0.13,0.06,0.13,Matches,da0bb55a
419,Anthony Markanich,us USA,DF,Colorado Rapids,22-247,1999,3,3,234,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.05,0.15,0.20,0.05,0.20,Matches,565fde4a
420,Nick Markanich,us USA,FWMF,FC Cincinnati,22-247,1999,9,1,110,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.9,0.76,0.00,0.76,0.76,0.76,Matches,65988c73
421,George Marks,us USA,GK,Charlotte,22-293,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e75f9dba
422,Jahkeele Marshall-Rutty,ca CAN,DF,Toronto FC,18-075,2004,13,4,467,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.06,0.07,0.01,0.07,Matches,b9459f85
423,Nick Marsman,nl NED,GK,Inter Miami,31-333,1990,5,5,450,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f352799f
424,Josef Martínez,ve VEN,FW,Atlanta Utd,29-103,1993,20,12,1277,14.2,7,4,6,1,1,0,0,0.49,0.28,0.78,0.42,0.70,6.2,5.4,2.5,8.0,0.44,0.18,0.61,0.38,0.56,Matches,e73f0aa1
425,Luís Martins,pt POR,DF,Vancouver,30-081,1992,7,1,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,56b7c09b
426,Thiago Martins,br BRA,DF,NYCFC,27-166,1995,22,21,1808,20.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.03,0.00,0.03,0.03,0.03,Matches,4d6ec370
427,Alexandru Mățan,ro ROU,FWMF,Columbus Crew,23-001,1999,6,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,2.02,0.00,2.02,2.02,2.02,Matches,3bd3bcc4
428,Rónald Matarrita,cr CRC,DF,FC Cincinnati,28-052,1994,2,2,174,1.9,1,2,1,0,0,1,0,0.52,1.03,1.55,0.52,1.55,0.1,0.1,0.4,0.5,0.07,0.21,0.27,0.07,0.27,Matches,491862dd
