,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
141,Maikel Chang,cu CUB,MFFW,Real Salt Lake,31-134,1991,27,20,1577,17.5,1,4,1,0,0,3,0,0.06,0.23,0.29,0.06,0.29,2.1,2.1,2.6,4.8,0.12,0.15,0.27,0.12,0.27,Matches,04cc9edd
142,Maxime Chanot,lu LUX,DF,NYCFC,32-282,1989,16,10,901,10.0,1,1,1,0,0,4,0,0.10,0.10,0.20,0.10,0.20,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04,Matches,ca366055
143,Diego Chará,co COL,MF,Portland Timbers,36-147,1986,23,22,1988,22.1,0,2,0,0,0,9,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,1.3,1.5,0.01,0.06,0.07,0.01,0.07,Matches,6260cc9d
144,Yimmi Chará,co COL,MFFW,Portland Timbers,31-150,1991,28,28,2341,26.0,4,3,4,0,0,4,0,0.15,0.12,0.27,0.15,0.27,5.0,5.0,3.4,8.3,0.19,0.13,0.32,0.19,0.32,Matches,9df9baab
145,Giorgio Chiellini,it ITA,DF,Los Angeles FC,38-016,1984,5,4,278,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,e85fb9b8
146,Mathieu Choiniere,ca CAN,DFMF,CF Montréal,23-204,1999,19,10,942,10.5,2,0,2,0,0,0,0,0.19,0.00,0.19,0.19,0.19,0.6,0.6,0.8,1.3,0.05,0.07,0.13,0.05,0.13,Matches,017459bb
147,Léo Chú,br BRA,FWMF,Seattle,22-146,2000,20,8,736,8.2,0,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,1.7,1.7,1.1,2.8,0.21,0.14,0.35,0.21,0.35,Matches,d88ebbe9
148,Kadin Chung,ca CAN,DF,Toronto FC,23-359,1998,8,5,450,5.0,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,d616ce40
149,José Cifuentes,ec ECU,MF,Los Angeles FC,23-171,1999,26,21,1855,20.6,7,6,7,0,0,7,0,0.34,0.29,0.63,0.34,0.63,5.7,5.7,4.4,10.1,0.27,0.21,0.49,0.27,0.49,Matches,8c8c07a7
150,Ronaldo Cisneros,mx MEX,FW,Atlanta Utd,25-234,1997,22,20,1502,16.7,7,1,7,0,0,0,0,0.42,0.06,0.48,0.42,0.48,6.9,6.9,1.4,8.4,0.41,0.09,0.50,0.41,0.50,Matches,e526c193
151,Abdoulaye Cissoko,fr FRA,DF,Seattle,22-246,1999,9,4,355,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,52a6ef30
152,Caden Clark,us USA,FWMF,NY Red Bulls,19-095,2003,12,2,352,3.9,1,1,1,0,0,1,0,0.26,0.26,0.51,0.26,0.51,0.7,0.7,0.9,1.6,0.19,0.22,0.41,0.19,0.41,Matches,6e327d0d
153,Steve Clark,us USA,GK,Houston Dynamo,36-138,1986,26,26,2275,25.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ed6320b7
154,Stefan Cleveland,us USA,GK,Seattle,28-097,1994,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,873fdbdf
155,Jackson Conway,us USA,FWMF,Atlanta Utd,20-270,2001,3,0,36,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,1.38,0.05,1.43,1.38,1.43,Matches,1cfa6e1a
156,Gabriele Corbo,it ITA,DF,CF Montréal,22-231,2000,10,9,798,8.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.05,0.04,0.09,0.05,0.09,Matches,091795f2
157,Sergio Córdova,ve VEN,FW,Real Salt Lake,25-021,1997,26,21,1842,20.5,7,1,7,0,0,2,0,0.34,0.05,0.39,0.34,0.39,8.9,8.9,2.1,11.0,0.43,0.10,0.54,0.43,0.54,Matches,229cd98a
158,Carlos Coronel,br BRA,GK,NY Red Bulls,25-244,1996,27,27,2430,27.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5c07e176
159,Washington Corozo,ec ECU,FW,Austin,24-052,1998,3,0,51,0.6,0,1,0,0,0,0,0,0.00,1.76,1.76,0.00,1.76,0.1,0.1,0.0,0.1,0.16,0.00,0.16,0.16,0.16,Matches,1391217a
160,Guzmán Corujo,uy URU,DF,Charlotte,26-028,1996,24,24,2047,22.7,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.2,1.6,0.06,0.01,0.07,0.06,0.07,Matches,5c6051ad
161,Douglas Costa,br BRA,MFFW,LA Galaxy,31-350,1990,20,12,1078,12.0,2,1,2,0,0,3,1,0.17,0.08,0.25,0.17,0.25,1.3,1.3,2.9,4.2,0.11,0.24,0.35,0.11,0.35,Matches,4fa7cb9b
162,Séga Coulibaly,fr FRA,DF,LA Galaxy,26-082,1996,20,17,1518,16.9,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,1.2,1.2,0.0,1.2,0.07,0.00,0.07,0.07,0.07,Matches,dab9537e
163,Cade Cowell,us USA,FWMF,San Jose,18-320,2003,24,10,1104,12.3,2,3,2,0,0,2,0,0.16,0.24,0.41,0.16,0.41,1.7,1.7,1.5,3.3,0.14,0.13,0.27,0.14,0.27,Matches,f8e95f87
164,Brandan Craig,us USA,MF,Philadelphia,18-145,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4d0f7cb3
165,Maxime Crépeau,ca CAN,GK,Los Angeles FC,28-111,1994,26,26,2340,26.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ea42e480
166,Domenico Criscito,it ITA,DF,Toronto FC,35-243,1986,10,9,813,9.0,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,1.6,1.9,0.04,0.17,0.21,0.04,0.21,Matches,35dd6d80
167,Daniel Crisostomo,us USA,MF,Los Angeles FC,25-226,1997,2,0,30,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,33fdd2aa
168,Cody Cropper,us USA,GK,Vancouver,29-195,1993,14,13,1146,12.7,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,Matches,aa133046
169,Allan Cruz,cr CRC,MF,FC Cincinnati,26-187,1996,11,4,403,4.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.10,0.05,0.16,0.10,0.16,Matches,030105a5
170,Adrián Cubas,py PAR,MF,Vancouver,26-100,1996,12,11,893,9.9,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.2,0.2,0.2,0.4,0.02,0.02,0.05,0.02,0.05,Matches,9b40a6ea
171,Cucho,co COL,FW,Columbus Crew,23-132,1999,9,7,676,7.5,8,1,8,0,0,1,0,1.07,0.13,1.20,1.07,1.20,4.1,4.1,0.5,4.6,0.55,0.07,0.62,0.55,0.62,Matches,71b47ab9
172,Rafael Czichos,de GER,DF,Chicago Fire,32-108,1990,21,21,1881,20.9,3,0,3,0,0,5,1,0.14,0.00,0.14,0.14,0.14,2.5,2.5,0.6,3.2,0.12,0.03,0.15,0.12,0.15,Matches,b0a0698b
173,Cristián Dajome,co COL,DFMF,Vancouver,28-239,1994,24,17,1693,18.8,2,4,2,0,1,5,1,0.11,0.21,0.32,0.11,0.32,2.9,2.2,3.1,5.3,0.16,0.16,0.32,0.12,0.28,Matches,a065e877
174,Jesús Daniel Bueno,ve VEN,MF,Philadelphia,23-137,1999,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b5687b08
175,Abu Danladi,gh GHA,FWMF,Minnesota Utd,26-316,1995,17,5,568,6.3,2,0,2,0,0,0,0,0.32,0.00,0.32,0.32,0.32,1.3,1.3,1.0,2.4,0.21,0.16,0.38,0.21,0.38,Matches,507383d1
